band,n,median_price,p10,p90,median_km,median_baht_per_km,vehicle_class,method,base_fare,rate_per_km,drop_fee,r2
25-50,1,1341.0,1341.0,1341.0,38.801,34.56096492358444,22W reefer,Own trips,7386.715035215311,32.842418173978245,0.0,0.9973128584992144
100-200,77,12285.0,11800.0,12285.0,149.271,82.29997789255783,22W reefer,Own trips,7386.715035215311,32.842418173978245,0.0,0.9973128584992144
800-1500,32,36731.0,29011.6,37835.0,908.426,40.43367318857012,22W reefer,Own trips,7386.715035215311,32.842418173978245,0.0,0.9973128584992144
0-25,5,1500.0,1159.2,2120.0,12.587,123.14292524032733,4W dry,Own trips,1846.8841823251846,9.961789196478712,41.53794054981367,0.9779436733847268
25-50,69,2025.0,2025.0,2085.000000000001,25.174,80.4401366489235,4W dry,Own trips,1846.8841823251846,9.961789196478712,41.53794054981367,0.9779436733847268
50-100,187,2800.0,2800.0,2940.000000000002,84.045,33.31548575168065,4W dry,Own trips,1846.8841823251846,9.961789196478712,41.53794054981367,0.9779436733847268
100-200,27,3000.0,1558.2,3370.8,181.606,16.492355184492876,4W dry,Own trips,1846.8841823251846,9.961789196478712,41.53794054981367,0.9779436733847268
200-400,60,3787.0,3537.9,4623.54,225.047,16.174399125516004,4W dry,Own trips,1846.8841823251846,9.961789196478712,41.53794054981367,0.9779436733847268
400-800,83,8684.29,7387.0,12399.999999999998,716.209,12.327407223310516,4W dry,Own trips,1846.8841823251846,9.961789196478712,41.53794054981367,0.9779436733847268
800-1500,12,14420.0,12050.0,17000.0,977.956,14.025395497672971,4W dry,Own trips,1846.8841823251846,9.961789196478712,41.53794054981367,0.9779436733847268
0-25,1109,1800.0,763.0,2104.800000000001,20.612,89.94760333786145,4W reefer,Own trips,1986.9032777605714,6.935876360132049,102.11194593210398,0.5790316423721822
25-50,1881,2354.0,1800.0,2900.0,39.561,57.719647426784185,4W reefer,Own trips,1986.9032777605714,6.935876360132049,102.11194593210398,0.5790316423721822
50-100,2865,2568.0,1962.0,3168.0,62.367,39.70171925706,4W reefer,Own trips,1986.9032777605714,6.935876360132049,102.11194593210398,0.5790316423721822
100-200,2158,3193.0,700.0,4100.0,122.115,25.609166184518784,4W reefer,Own trips,1986.9032777605714,6.935876360132049,102.11194593210398,0.5790316423721822
200-400,526,3604.0,1908.0,4617.5,242.899,15.193970499838164,4W reefer,Own trips,1986.9032777605714,6.935876360132049,102.11194593210398,0.5790316423721822
400-800,180,6300.0,2348.0,11000.0,663.169,8.604547197772813,4W reefer,Own trips,1986.9032777605714,6.935876360132049,102.11194593210398,0.5790316423721822
