Car Type,Ori,Dest,Total KM,Per km (THB/km),Per-km price,Existing pair price,Existing pair price (min-max),Divergence (THB),Divergence (%),Trips
,,เชียงใหม่,722.286,27.163849563620072,19620.068245908886,15444,"15,444-15,444",4176.068245908886,27.04006893232897,1
,ไทย ออซัม,ร้านเชิญเก้า (เชียงใหม่),776.397,27.163849563620072,21089.931309645934,800,800-800,20289.931309645934,2536.2414137057417,1
6W reefer,JPK (เจพีเค โคลด์ สโตเรจ),ห้องเย็นปิติชัย วังน้อย,109.643,53.699356294029,5887.758522146222,6200,"6,200-6,200",-312.2414778537777,-5.036152868609318,2
,LUF (ลัคกี้ ยูเนี่ยน ฟู้ดส์),Linfox DC (บางบ่อ),71.029,53.699356294029,3814.2115782085857,6360,"6,360-6,360",-2545.7884217914143,-40.028119839487644,1
,,เซ้าอีสต์ นาดี,10.409,53.699356294029,558.9565996645479,2862,"2,862-2,862",-2303.043400335452,-80.46972048691308,1
,PACS (แปซิฟิค สระบุรี),โอสถสภา,137.285,53.699356294029,7372.116128825772,4300,"4,300-4,300",3072.1161288257717,71.44456113548307,1
,PCS (ห้องเย็นแปซิฟิค),DC Makro Wang Noi (Pre - cool),100.714,53.699356294029,5408.276969796837,7500,"7,500-7,500",-2091.723030203163,-27.889640402708842,1
,,Nestle ระยอง,174.686,53.699356294029,9380.525753578751,7848,"7,848-7,848",1532.5257535787514,19.527596248455037,1
,,บจก. ยูนิ - เพรสซิเดนท์,46.382,53.699356294029,2490.683543629653,4500,"4,500-4,500",-2009.3164563703472,-44.65147680822994,1
,,ไทยซันฟู้ดส์,58.374,53.699356294029,3134.646224307649,6700,"6,700-6,700",-3565.353775692351,-53.21423545809479,1
,SCGN (Phase1),Havi (Bangna),91.076,53.699356294029,4890.722573834985,4082,"4,082-4,082",808.7225738349853,19.811919986158387,2
,,Merry สมุทรสาคร (ห้องเย็นทะเลไทย) เดือนตุลาคม 2568,155.097,53.699356294029,8328.609063135016,5364,"5,364-5,364",2964.609063135016,55.26862533808755,2
,,Va Va สิงห์บุรี,310.218,53.699356294029,16658.50691082109,6917.5,"6,504-7,331",9741.006910821088,140.81686896741726,2
,,Va Va สิงห์บุรี เดือนตุลาคม 2568,246.438,53.699356294029,13233.561966387919,7064,"7,064-7,064",6169.561966387919,87.33807993187881,2
,,กอล์ฟมหาชัยซีฟู้ด เดือนตุลาคม 2568,154.359,53.699356294029,8288.978938190023,5364,"5,364-5,364",2924.9789381900227,54.529808691089166,2
,,DC Makro Mahachai (แมคโครมหาชัย) รวมลงของ,168.428,53.699356294029,9044.475181890717,5960,"5,960-5,960",3084.475181890717,51.7529392934684,1
,,PCS (ห้องเย็นแปซิฟิค) 61KM - 70KM เดือนตุลาคม2568,151.116,53.699356294029,8114.8319257284875,5364,"5,364-5,364",2750.8319257284875,51.28322009188082,1
,,ปทุมธานี เดือนตุลาคม 2568,162.389,53.699356294029,8720.184769231077,5519,"5,519-5,519",3201.1847692310766,58.00298549068811,1
,,ห้องเย็นอุตรดิต (ปั๊มPTคลองหลวง),591.987,53.699356294029,31789.320834433343,6050,"6,050-6,050",25739.320834433343,425.4433195774106,1
,TFG (ไทยฟู้ดส์ กาญ),PACK (บางนา กม.19),196.403,53.699356294029,10546.714674216177,4280,"4,280-4,280",6266.714674216177,146.41856715458357,1
